id,price
188533,19802.17558
188534,63798.84102
188535,62102.05187
188536,28432.15823
188537,30457.50948
188538,18348.08763
188539,12126.9082
188540,52479.97928
188541,82634.3198
188542,84791.82373
188543,33507.97483
188544,13443.31977
188545,44274.6071
188546,79797.0981
188547,19788.5686
188548,82903.45311
188549,22278.71395
188550,11929.45961
188551,86859.92758
188552,53150.99879
188553,66807.64441
188554,21303.25577
188555,32582.89639
188556,21480.80426
188557,23958.22364
188558,69944.12435
188559,28715.63922
188560,19048.01995
188561,89039.47539
188562,24592.66642
188563,88794.01536
188564,36319.46571
188565,36702.61542
188566,30455.02335
188567,18980.00759
188568,66079.53571
188569,17899.59511
188570,18321.04121
188571,39885.48827
188572,91774.19358
188573,25621.35437
188574,34010.98153
188575,47418.21779
188576,32756.49631
188577,12519.63548
188578,34395.78568
188579,35100.64624
188580,40596.04341
188581,80952.93492
188582,23306.84346
188583,85734.7849
188584,38089.90569
188585,38835.78341
188586,34252.8503
188587,50285.82129
188588,30177.26033
188589,21001.88586
188590,38623.0712
188591,29259.49734
188592,36578.03941
188593,37795.84371
188594,67075.19392
188595,29832.43214
188596,47463.37326
188597,28012.88731
188598,26963.38701
188599,15746.86956
188600,55253.11513
188601,54738.6185
188602,35257.00831
188603,83586.0736
188604,12320.38749
188605,32879.22636
188606,34363.978
188607,59466.83567
188608,16232.02837
188609,55879.46819
188610,43686.37987
188611,21331.79863
188612,65466.26622
188613,23065.07348
188614,28421.01213
188615,33894.70528
188616,90631.98141
188617,46234.0739
188618,25099.96755
188619,106719.8415
188620,28529.50662
188621,22875.58195
188622,168282.0822
188623,50232.64
188624,43860.79101
188625,25856.25185
188626,17594.11666
188627,125046.0652
188628,79488.77054
188629,27380.08782
188630,29998.01747
188631,65153.54268
188632,38694.5465
188633,56330.50929
188634,11947.8082
188635,23097.09336
188636,50482.57634
188637,11582.97274
188638,36102.59833
188639,26334.54297
188640,14096.90076
188641,26049.19062
188642,15623.34094
188643,76745.30968
188644,102488.1565
188645,59432.1178
188646,12539.86249
188647,20511.89409
188648,27102.67911
188649,42182.86321
188650,102060.0607
188651,52266.11678
188652,46425.20517
188653,69720.80213
188654,16439.81507
188655,20656.67055
188656,27431.80534
188657,37847.76712
188658,11417.11527
188659,61854.2007
188660,11401.76427
188661,89259.67551
188662,11391.2783
188663,19016.6568
188664,82521.92331
188665,95969.47245
188666,29901.93568
188667,12243.4106
188668,14946.2005
188669,31054.79415
188670,62998.82
188671,25267.06145
188672,28409.2456
188673,63128.81381
188674,15876.46862
188675,36503.63602
188676,45668.59607
188677,11515.20564
188678,34566.69515
188679,40818.69157
188680,58754.68826
188681,15538.18456
188682,16609.14065
188683,14749.8985
188684,59402.33785
188685,50751.756
188686,82397.39037
188687,22791.67621
188688,38725.45577
188689,13737.68016
188690,31196.57156
188691,34305.30936
188692,32460.91815
188693,13634.08584
188694,15792.98126
188695,21066.06441
188696,65302.2836
188697,28251.82864
188698,14348.83419
188699,66429.71516
188700,92736.97889
188701,28803.72193
188702,14493.87203
188703,76452.20248
188704,58307.49263
188705,41540.29233
188706,81784.30791
188707,12417.04945
188708,16160.75446
188709,14649.96072
188710,22667.10442
188711,28451.54335
188712,44760.41598
188713,31263.16019
188714,21889.45319
188715,43028.64367
188716,96863.52853
188717,12965.92767
188718,17300.3684
188719,27795.85854
188720,18366.42548
188721,64163.20349
188722,51594.53349
188723,23722.73822
188724,31427.63526
188725,14225.96849
188726,46629.03997
188727,14672.57153
188728,54657.57692
188729,70802.9165
188730,75454.03208
188731,96181.17265
188732,40233.0803
188733,25676.1118
188734,12561.59865
188735,10280.31378
188736,12066.02642
188737,162549.266
188738,79636.16579
188739,52447.08655
188740,78183.2017
188741,42239.97156
188742,26936.64973
188743,34158.30904
188744,70285.35103
188745,78188.03638
188746,37540.54512
188747,36780.99977
188748,20173.01068
188749,66662.6045
188750,11098.38397
188751,52893.65277
188752,94857.2789
188753,11298.64391
188754,179600.3164
188755,73860.29463
188756,32978.25268
188757,24326.43311
188758,11408.00424
188759,17009.01845
188760,13006.05402
188761,37886.02305
188762,47291.68702
188763,31357.70213
188764,15852.30152
188765,48795.05457
188766,36244.87112
188767,13974.66132
188768,31974.54162
188769,147051.661
188770,51007.70448
188771,15769.26175
188772,10274.49477
188773,57969.83693
188774,47033.13595
188775,69330.48699
188776,13134.46258
188777,21388.21008
188778,39954.35592
188779,56820.40161
188780,63236.96527
188781,82317.81101
188782,18095.50894
188783,23547.53863
188784,44373.36185
188785,100420.9601
188786,37150.87937
188787,11873.77018
188788,17081.32109
188789,48763.59853
188790,11933.91378
188791,10031.84448
188792,59078.94466
188793,15582.56562
188794,16318.22629
188795,54163.01721
188796,23977.85823
188797,75164.09947
188798,23585.24807
188799,18180.2106
188800,52238.45813
188801,40783.902
188802,29873.94213
188803,100346.5647
188804,12253.21307
188805,13733.9614
188806,77582.56156
188807,43472.65926
188808,60265.17239
188809,31948.55673
188810,32785.9962
188811,62315.60302
188812,24979.42537
188813,17687.83935
188814,36793.01432
188815,19365.03637
188816,41204.78272
188817,31012.74762
188818,37020.62983
188819,43756.45055
188820,45130.249
188821,34565.34573
188822,19921.80172
188823,36961.12055
188824,11429.01023
188825,17305.94128
188826,11023.88295
188827,33882.08098
188828,26361.66381
188829,14144.94204
188830,55538.2137
188831,65628.74888
188832,12827.67626
188833,27070.65015
188834,33428.64078
188835,22816.25582
188836,25963.38579
188837,96686.83691
188838,16412.7618
188839,15830.599
188840,29199.05832
188841,89444.40565
188842,25874.2936
188843,105287.6774
188844,37147.62337
188845,21190.14473
188846,32902.46741
188847,81420.90531
188848,14447.04163
188849,28600.51958
188850,63613.46702
188851,79830.93508
188852,72850.88226
188853,16470.7672
188854,21536.50079
188855,65590.43785
188856,87810.18146
188857,79496.53303
188858,46744.16802
188859,58126.45071
188860,10947.92475
188861,39447.85182
188862,94543.59178
188863,26401.93735
188864,28960.29525
188865,32990.86317
188866,46271.54641
188867,14937.7888
188868,92530.99767
188869,22726.11973
188870,10374.04425
188871,13504.85412
188872,48735.4026
188873,42359.64814
188874,41437.85434
188875,19341.96667
188876,25815.21001
188877,69147.16049
188878,77540.51353
188879,55377.71121
188880,46163.81785
188881,12327.32249
188882,37905.33306
188883,34354.51039
188884,87549.63532
188885,36682.65344
188886,47011.51126
188887,120752.3192
188888,125650.8177
188889,28371.27467
188890,20111.45499
188891,28966.73845
188892,38030.51839
188893,113666.9805
188894,13043.85285
188895,25388.01205
188896,36238.73702
188897,18894.17937
188898,12597.96099
188899,78707.9803
188900,10062.03453
188901,11076.16928
188902,91931.21801
188903,62228.76682
188904,36582.71337
188905,30259.22186
188906,62833.93032
188907,70796.36137
188908,42165.24492
188909,34799.0009
188910,317299.5558
188911,44839.32889
188912,30580.77094
188913,65761.48181
188914,57546.32864
188915,50509.24711
188916,11680.70487
188917,75996.2889
188918,12796.52016
188919,34308.20931
188920,19226.71836
188921,39881.51381
188922,46435.56278
188923,74248.2353
188924,50354.00285
188925,54520.89128
188926,44819.14605
188927,11031.37656
188928,56647.18155
188929,19897.09135
188930,41813.59358
188931,45745.08257
188932,29140.9775
188933,103335.0341
188934,45014.76707
188935,34532.57597
188936,43936.55758
188937,38023.11198
188938,23587.19422
188939,172987.8179
188940,13069.75917
188941,65821.78381
188942,66600.73373
188943,66889.03845
188944,42170.2101
188945,24356.8634
188946,62864.05304
188947,39227.15808
188948,84645.77877
188949,153922.4158
188950,24030.19809
188951,38201.29123
188952,10930.13726
188953,11166.10855
188954,22674.23524
188955,47619.72082
188956,23789.73122
188957,35270.45371
188958,22369.50414
188959,12745.87705
188960,54140.52816
188961,86822.83122
188962,15862.58043
188963,59660.17691
188964,39951.06456
188965,9368.654845
188966,56687.477
188967,57339.07021
188968,31304.3415
188969,34698.61586
188970,36462.98336
188971,32791.84443
188972,62655.08061
188973,132305.2424
188974,35765.64439
188975,23804.71638
188976,17034.65434
188977,27025.69769
188978,12500.43041
188979,63744.04141
188980,19485.12652
188981,18372.57197
188982,33878.25464
188983,61159.50369
188984,28269.18954
188985,15493.01479
188986,24374.55114
188987,51210.98093
188988,23709.40953
188989,47475.05502
188990,38162.11678
188991,44903.07833
188992,29438.63293
188993,28156.4925
188994,37409.681
188995,34812.16488
188996,19465.54733
188997,84917.58506
188998,57858.88907
188999,12294.00995
189000,14910.85511
189001,29235.23451
189002,44416.30223
189003,30902.34605
189004,59122.93391
189005,49426.82524
189006,56518.65632
189007,37231.09077
189008,28432.39223
189009,17436.65521
189010,35125.86548
189011,38905.88179
189012,49911.64202
189013,28018.76636
189014,58287.16766
189015,22136.2057
189016,51944.59232
189017,13743.3195
189018,22544.68774
189019,12997.05551
189020,22097.41212
189021,48603.94233
189022,51451.35921
189023,52044.12995
189024,28838.66669
189025,57526.19213
189026,18100.85158
189027,13543.88813
189028,144011.0416
189029,18081.40476
189030,12878.07783
189031,37022.62818
189032,51573.37352
189033,12604.19164
189034,83296.11692
189035,100715.0503
189036,82956.74974
189037,20275.87865
189038,82615.34849
189039,87465.72607
189040,14851.0988
189041,17121.86983
189042,22255.63156
