id,price
188533,18917.29105
188534,66227.60682
188535,54351.31198
188536,30025.59524
188537,30614.14937
188538,21735.88706
188539,12053.68144
188540,51495.4922
188541,80386.34551
188542,34103.01785
188543,29656.95511
188544,13877.64201
188545,48816.05774
188546,76986.84312
188547,19612.17448
188548,137857.5344
188549,22392.20149
188550,11406.63923
188551,82809.23543
188552,54188.88749
188553,67821.48646
188554,21792.30007
188555,32872.09162
188556,21275.95499
188557,21195.29561
188558,87081.98277
188559,31173.78869
188560,22948.04367
188561,87563.88376
188562,25178.45883
188563,82990.55686
188564,46599.54781
188565,44137.02083
188566,30564.37538
188567,17240.6206
188568,59886.88745
188569,20286.49196
188570,18012.82912
188571,37647.19829
188572,99433.89625
188573,26166.66643
188574,34741.3008
188575,45610.16366
188576,33711.33781
188577,15514.74032
188578,34339.07766
188579,42928.66505
188580,38825.35584
188581,81962.57695
188582,26363.93014
188583,73662.70452
188584,34807.0905
188585,38397.52901
188586,31333.65434
188587,55137.80153
188588,28269.82924
188589,18419.77205
188590,32784.49702
188591,28377.64347
188592,40450.83699
188593,36962.71456
188594,67884.24808
188595,31524.44255
188596,63741.76281
188597,28300.97805
188598,27306.90524
188599,15038.18669
188600,59266.27005
188601,53945.33177
188602,32928.83948
188603,142312.5126
188604,12394.77591
188605,40656.55837
188606,33997.43648
188607,67947.73489
188608,19919.68368
188609,53569.80152
188610,45555.6897
188611,20506.47122
188612,72819.43048
188613,22825.80914
188614,23813.06244
188615,40633.41486
188616,87722.20862
188617,40805.26268
188618,24460.88052
188619,94440.87291
188620,26655.98593
188621,23400.55273
188622,99370.62163
188623,49124.3599
188624,41814.24225
188625,26911.09774
188626,17431.15816
188627,92700.70753
188628,79155.76835
188629,28206.88536
188630,28401.99691
188631,58587.04032
188632,47974.72533
188633,54765.91736
188634,11721.53303
188635,26827.5565
188636,50705.90715
188637,11420.1081
188638,42507.56593
188639,26544.18894
188640,16650.88927
188641,26246.56661
188642,15342.38391
188643,119378.3672
188644,93968.99643
188645,61918.98081
188646,13313.58311
188647,35118.95987
188648,28076.00236
188649,39497.71241
188650,111512.2801
188651,51749.12595
188652,75191.9837
188653,71100.76946
188654,14962.11552
188655,19256.00107
188656,26661.59812
188657,35838.94829
188658,11553.58356
188659,63927.20746
188660,14150.05261
188661,95632.08397
188662,11527.06323
188663,21473.22385
188664,83970.30712
188665,98332.54711
188666,29364.55245
188667,12744.51757
188668,18861.47307
188669,29834.51136
188670,64681.3177
188671,22973.38946
188672,33507.74611
188673,62081.67798
188674,16186.00378
188675,37052.3864
188676,47003.66361
188677,11608.50763
188678,34741.08687
188679,36224.58694
188680,71214.32773
188681,15466.83125
188682,16153.1971
188683,13305.17549
188684,67444.76219
188685,46562.68417
188686,102490.7421
188687,23190.09079
188688,36826.4628
188689,13186.63046
188690,35555.34175
188691,60859.69569
188692,31785.62759
188693,13168.55244
188694,16523.15005
188695,25134.71982
188696,73575.0973
188697,37789.26219
188698,14964.52194
188699,62038.52809
188700,123151.4249
188701,28582.25313
188702,14772.55538
188703,86195.63262
188704,54298.24575
188705,32612.42226
188706,86652.20229
188707,12266.81656
188708,16541.36648
188709,14590.35289
188710,22354.04648
188711,28880.57341
188712,45653.4944
188713,31004.24617
188714,23450.69473
188715,41574.36336
188716,92979.01371
188717,13367.06883
188718,18748.48429
188719,32292.81252
188720,18166.41492
188721,59731.4785
188722,58298.24536
188723,23662.37318
188724,31108.98737
188725,13195.91982
188726,40539.47528
188727,13894.14511
188728,53550.37353
188729,27647.48624
188730,58185.48852
188731,67631.74025
188732,39687.75069
188733,19990.10722
188734,13267.56381
188735,10189.07306
188736,12427.55459
188737,120440.7196
188738,89017.03842
188739,48352.56412
188740,77636.62722
188741,41361.97374
188742,25917.91552
188743,54858.48772
188744,77022.03697
188745,71450.16981
188746,38460.51271
188747,36363.63326
188748,22596.48103
188749,71654.84774
188750,10923.36277
188751,52187.80916
188752,109406.5337
188753,11232.71035
188754,82288.87159
188755,85120.60558
188756,33742.83193
188757,23380.2904
188758,16110.9559
188759,17664.47118
188760,12484.06036
188761,38330.4687
188762,50294.283
188763,32604.85171
188764,15099.08026
188765,52096.74531
188766,35022.30043
188767,14023.69627
188768,32456.60226
188769,86413.67273
188770,45053.48365
188771,15065.1085
188772,10412.5548
188773,53512.72076
188774,46262.87883
188775,62581.1781
188776,13318.08278
188777,20990.50979
188778,28064.23637
188779,58332.9061
188780,56969.66095
188781,78128.96124
188782,18389.54387
188783,20975.58626
188784,46774.96464
188785,33542.01252
188786,36500.04838
188787,12210.93616
188788,17425.19208
188789,50929.45769
188790,12216.74865
188791,10383.75879
188792,56637.9289
188793,23570.88568
188794,16521.60382
188795,45415.96439
188796,24540.76689
188797,74596.45844
188798,24440.53118
188799,17779.58154
188800,52094.68084
188801,40850.23673
188802,30821.94509
188803,92315.82739
188804,12299.6985
188805,13693.22373
188806,81530.75244
188807,43214.04148
188808,64905.50907
188809,31692.46492
188810,25410.21928
188811,62605.63364
188812,23834.03158
188813,15002.94226
188814,34912.07333
188815,19573.05264
188816,44792.2135
188817,30017.49249
188818,38301.27702
188819,41564.73209
188820,51302.05018
188821,38669.2385
188822,20022.67005
188823,39894.6667
188824,11703.17475
